seq_len,model,features,16_16,16_16,24_24,24_24,32_32,32_32,48_48,48_48,64_64,64_64,96_96,96_96,Average,Average
metrics,,,fde,rmse,fde,rmse,fde,rmse,fde,rmse,fde,rmse,fde,rmse,fde,rmse
15,Transformer,MS,1.2859803438186646,0.7156079411506653,2.087315320968628,1.1687180995941162,2.9317219257354736,1.691967487335205,4.046230316162109,2.4808878898620605,4.9729084968566895,3.133080005645752,7.090926647186279,4.6110520362854,3.7358471751213074,2.3002189099788666
16,Transformer,S,1.304228663444519,0.709514319896698,2.1925206184387207,1.2095110416412354,2.939580202102661,1.6530163288116455,4.099703311920166,2.448917388916016,5.181759834289551,3.192891359329224,7.279617309570312,4.556065559387207,3.832901656627655,2.294985999663671
11,ST_GAT,MS,1.3805875778198242,0.7809871435165405,2.2889864444732666,1.326189041137695,2.8245654106140137,1.696489930152893,4.14198637008667,2.57519793510437,5.200384616851807,3.256798505783081,7.271538734436035,4.589722156524658,3.8513415257136026,2.3708974520365396
7,Nonstationary_Transformer,S,1.3288270235061646,0.7320197820663452,2.209232807159424,1.222074270248413,2.9689557552337646,1.6944048404693604,4.1695475578308105,2.5187113285064697,5.193619251251221,3.2176008224487305,7.309092998504639,4.604472637176514,3.8632125655810037,2.331547280152639
18,iTransformer,S,1.2890406847000122,0.7030991315841675,2.146183729171753,1.1765793561935425,2.9373579025268555,1.6547787189483645,4.297143936157227,2.6211750507354736,5.2360615730285645,3.24207615852356,7.290115356445312,4.735363960266113,3.865983863671621,2.3555120627085366
9,PatchTST,S,1.3736002445220947,0.7708789110183716,2.244230031967163,1.2541491985321045,2.9646811485290527,1.6768791675567627,4.1746134757995605,2.521782875061035,5.239772319793701,3.2638919353485107,7.254524230957031,4.6272077560424805,3.875236908594767,2.352464973926544
3,DLinear,S,1.3736251592636108,0.7477264404296875,2.2611751556396484,1.2408397197723389,3.018872737884521,1.6958279609680176,4.17116641998291,2.490027666091919,5.187450408935547,3.183363437652588,7.239415168762207,4.503062725067139,3.875284175078074,2.3101413249969482
4,LSTM,MS,1.5733087062835691,0.9203149080276488,2.3508312702178955,1.4077898263931274,2.9994652,1.8009951,4.057259559631348,2.579986572265625,5.152896404266357,3.205362319946289,7.218997001647949,4.573276042938232,3.8921263570078533,2.4146207949284872
5,LSTM,S,1.5428560972213743,0.9020431041717528,2.365878105163574,1.369062423706055,3.0418100357055664,1.793297290802002,4.158487796783447,2.531604051589966,5.202244281768799,3.2255101203918457,7.275280952453613,4.539217948913574,3.9310928781827292,2.3934558232625327
10,SABFormer,MS,2.201488494873047,1.3631582260131836,3.029264450073242,1.8813271522521973,2.849299192428589,1.6277742385864258,4.530941009521484,2.9094340801239014,5.503960609436035,3.512451410293579,7.458989143371582,4.789759635925293,4.26232381661733,2.68065079053243
6,Nonstationary_Transformer,MS,2.1532135009765625,1.3169708251953125,3.111515045166016,1.913019299507141,3.785463094711304,2.371669292449951,4.75717306137085,3.0530900955200195,5.68825626373291,3.6474802494049072,7.65014123916626,4.909948348999023,4.524293700853984,2.8686963518460593
17,iTransformer,MS,2.3223469257354736,1.442347764968872,3.2026851177215576,1.992844223976136,3.840398788452149,2.4179039001464844,4.788722515106201,3.094411611557007,5.708266258239746,3.675935745239258,7.671932220458984,4.935021877288818,4.5890586376190186,2.9264108538627625
8,PatchTST,MS,2.355108499526977,1.4598517417907717,3.233651876449585,2.0090346336364746,3.882436752319336,2.4438791275024414,4.81411600112915,3.108961820602417,5.721498489379883,3.6841087341308594,7.659635066986084,4.9253458976745605,4.611074447631836,2.9385303258895874
2,DLinear,MS,2.3577444553375244,1.4567581415176392,3.232065200805664,2.005009412765503,3.882547855377197,2.4417803287506104,4.81709623336792,3.109226703643799,5.727016925811768,3.690648078918457,7.67372465133667,4.933827877044678,4.6150325536727905,2.939541757106781
1,Baseline - StandStill,S,2.367105007171631,1.46297287940979,3.2473528385162354,2.014136552810669,3.899878740310669,2.452531099319458,4.836485862731934,3.1225438117980957,5.749558925628662,3.7037551403045654,7.694710731506348,4.948241233825684,4.63251535097758,2.9506967862447104
0,Baseline - ConstantVelocity,S,1.5269755125045776,0.8154364228248596,2.69643235206604,1.4260510206222534,3.932300090789795,2.094301462173462,6.283751487731934,3.4515719413757324,8.599833488464355,4.825939655303955,13.442127227783203,7.539876461029053,6.080236693223317,3.3588628272215524
